lon,lat,id,sight
-74.71151,35.58049,54,A
-74.71157,35.57485,55,A
-74.70462,35.53482,56,A
-74.69643,35.63910,57,B
-74.71478,35.57669,58,C
-74.75678,35.58952,60,D
-74.72939,35.60526,61,D
-74.70781,35.64219,62,E
-74.71815,35.54099,63,F
-74.70881,35.52526,64,F
-74.79044,35.52508,65,G
-74.74785,35.58682,66,H
-74.72644,35.59647,67,I
-74.75422,35.57638,68,I
